geography,label,geo_level
49740,"Yuma, AZ",B
49999,"Not in metropolitan area, UT",B
50999,"Not in metropolitan area, VT",B
51999,"Not in metropolitan area, VA",B
53999,"Not in metropolitan area, WA",B
54999,"Not in metropolitan area, WV",B
55999,"Not in metropolitan area, WI",B
56999,"Not in metropolitan area, WY",B
72999,"Not in metropolitan area, PR",B
78999,"Not in metropolitan area, VI",B
